TimeSlice,Yr,Month,Day,Attribute,PSET_PN,AFE_ETH,AFE_KEN,AFN_DZA,AFN_EGY,AFN_MAR,AFN_TUN,AFO,AFW_NGA,AFW_SEN,ANZ_AUS,ANZ_NZL,ARG_ARG,ASA_PHL,ASA_THA,ASA_VNM,ASC_KAZ,ASE_MNG,ASE_TWN,ASO,ASS_BGD,ASS_LKA,ASS_PAK,ASW_AZE,ASW_CYP,ASW_GEO,ASW_ISR,ASW_JOR,ASW_KWT,ASW_OMN,BRA_BRA,CAN_CAN,CHN_CHN,ENE_UKR,ENN_NOR,ENS_BIH,ENS_MKD,ENS_MNE,ENS_SRB,ENW_CHE,EUE_BGR,EUE_CZE,EUE_HUN,EUE_LTU,EUE_LVA,EUE_POL,EUE_ROU,EUN_DNK,EUN_EST,EUN_FIN,EUN_IRL,EUN_SWE,EUS_ESP,EUS_GRC,EUS_HRV,EUS_ITA,EUS_PRT,EUW_AUT,EUW_BEL,EUW_DEU,EUW_FRA,EUW_LUX,EUW_NLD,GBR_GBR,IDN_IDN,IND_IND,IRN_IRN,JPN_JPN,KOR_KOR,MEX_MEX,RUS_RUS,SAC_CRI,SAC_CUW,SAC_DOM,SAC_GTM,SAC_HND,SAC_JAM,SAC_NIC,SAC_PAN,SAC_SLV,SAO,SAS_BOL,SAS_CHL,SAS_COL,SAS_ECU,SAS_PER,SAS_URY,SAU_SAU,TUR_TUR,USA_USA,ZAF_ZAF
M01D01,2040,1,1,RNW,ELE_WIN,33.1932,0,43.6877,27.94716923,43.8555,19.3936,43.8555,37.9232,43.81355,36.87577778,41.49381538,40.01252456,33.37518889,36.67356538,32.99219118,39.57405,42.57255,35.62420741,35.5582,0,40.88983077,43.44217059,42.1845,40.89598,33.1932,26.2934,35.01915,43.6877,19.3936,41.16849915,38.49845765,36.49246917,39.64550769,32.55478947,19.3936,0,19.3936,43.6877,19.3936,39.02347059,40.50601429,40.69182727,38.534285,35.94793333,41.11941205,34.58196415,42.92011296,31.07645455,22.47137759,42.1344016,33.62083526,35.37978795,30.49096387,21.36497143,38.30876346,27.13903902,42.78027838,40.58215426,33.49083233,43.18596786,44.08787143,41.84248151,39.68450392,38.44045,29.81445263,33.9625625,35.44327681,35.13213438,35.91870159,37.85250741,39.83330714,22.50686667,38.83905,19.3936,40.04372,37.9232,45.6123,41.82911667,19.3936,38.18458333,26.2934,36.27305128,44.22803333,0,37.52426,42.12087353,42.1845,36.89609952,37.20385799,37.13164688
M01D02,2040,1,2,RNW,ELE_WIN,33.1932,33.1932,43.6877,39.94998,39.10126667,43.74363333,44.8366,41.4574,44.888425,38.27024471,44.88582308,37.66753333,29.54426667,23.99346667,32.23648148,38.39205833,43.02,37.600524,0,0,38.82295385,43.94131176,19.3936,41.18682,0,19.3936,41.4574,0,41.4574,40.48497151,40.74138757,31.08389092,38.81675,40.06518621,31.74666667,0,30.4255,41.38923333,0,41.83697059,32.57325714,43.05019091,0,0,19.3936,37.93727647,37.62983333,32.95158,31.5540026,44.2355528,28.49567143,32.14747514,27.24417845,39.625852,39.48143849,37.9232,40.82296667,41.43806702,36.76966317,41.57634772,44.88595714,37.78386319,40.25558945,30.78905,31.39692806,24.51935556,40.47485942,41.8306275,31.4156541,28.04347,39.83330714,19.0575,40.424375,0,36.0312,37.9232,45.518,43.71566667,0,36.15743333,19.3936,39.33786522,37.824,0,40.91666,41.84228788,0,35.95051034,41.27350216,33.53225833
M01D03,2040,1,3,RNW,ELE_WIN,33.1932,29.56536,44.9057,36.97634615,35.58966667,44.55563333,45.518,41.4574,45.404975,42.48274444,43.03926923,43.4187193,43.343125,19.3936,29.60289744,40.16211,37.9232,30.65572353,19.3936,19.3936,41.90180769,42.23303529,43.6877,42.941,41.4574,0,0,0,37.9232,38.19187111,41.71045348,37.17908046,39.21033571,35.49724921,40.76406667,33.1932,33.1932,35.46703333,42.1845,40.847105,38.86601429,24.41163636,0,19.3936,29.46313247,44.2253434,29.48056406,26.2934,43.24281271,44.0187752,37.86849043,30.22600574,36.37180123,42.272384,32.5492996,27.18554048,30.45931698,37.21628936,41.69765696,43.16313226,45.26441429,33.21328562,37.11942109,33.1932,35.2291915,21.69353333,39.88048992,34.90393704,41.21031,31.43124231,36.51175,36.5736,0,37.9232,33.1932,0,44.9057,43.6877,33.1932,41.88186667,41.0787,41.9915561,46.63,0,37.96052,45.27126765,19.3936,39.15940305,39.01275475,40.33113514
M01D04,2040,1,4,RNW,ELE_WIN,37.9232,23.33634286,44.9057,37.42607692,43.6877,37.9232,44.4439,41.4574,45.518,37.02109524,44.01101538,34.54114717,45.0617,20.59312105,31.63949853,38.25334444,0,40.26971111,36.540975,19.3936,43.9775,41.26718824,45.6123,45.03884,33.1932,33.1932,42.1845,37.9232,33.1932,40.16155367,40.41700269,37.32587353,27.66891429,42.75635231,19.3936,0,19.3936,30.89326667,45.5714,19.3936,36.0481,36.94063636,43.937045,45.58503333,43.85396741,19.3936,39.21190703,34.32164,44.04853361,37.66403214,41.24922909,39.96537356,38.21384545,20.64810909,34.53168684,40.48988923,42.94859216,27.45169306,40.03021853,37.09817661,28.59333333,37.58040828,34.24500636,0,34.11282571,32.22884444,40.74115,41.488015,40.88689683,39.658368,37.00116429,42.6189,0,42.1845,41.89366,0,45.518,43.6877,42.1845,39.27108333,44.75176667,40.87824634,46.08143333,0,39.94998,41.24736061,19.3936,35.31794324,36.91213702,41.95893514
M01D05,2040,1,5,RNW,ELE_WIN,37.9232,23.33634286,43.6877,39.8818,39.10691667,39.10126667,44.4439,37.9232,45.2113,41.10068762,44.54506154,33.13667193,14.3429,37.25332857,37.48613514,42.30565,0,38.41351111,41.87806667,19.3936,43.9775,41.64062353,0,19.3936,0,26.2934,38.46905,42.1845,33.1932,38.89048217,37.88938953,35.74462581,39.46446667,39.391466,34.1028,0,37.3253,41.3531,42.1845,40.00909412,36.57177143,40.17223636,44.30004,38.4675,35.97943445,33.25706364,44.19820938,43.14849091,42.17186803,42.3975736,40.69244211,41.03865979,34.06595072,40.555076,39.72287708,30.89091949,41.7326036,36.13368125,28.75096833,42.29267348,39.0962,29.22424493,33.85961717,0,32.8562,22.106975,40.44709433,41.77606,38.84101481,37.25669286,27.48127143,42.6189,0,42.1845,35.0852,0,44.9057,42.1845,41.4574,40.05941667,0,40.55725238,44.9929,0,34.92412,37.18844,43.8555,40.49401126,37.91939764,41.94005135
M01D06,2040,1,6,RNW,ELE_WIN,37.9232,41.4574,0,27.24396923,41.72480769,45.5536,44.4439,41.4574,45.6123,41.690932,44.48478462,39.1664717,22.31456667,41.02685385,41.40677975,40.65239167,37.9232,32.77617778,36.305,19.3936,43.34813846,35.97555294,19.3936,0,0,0,19.3936,43.6877,33.1932,38.67282453,39.63718363,35.68478554,42.91537143,37.87579483,40.76406667,0,42.65645,36.34653333,19.3936,41.10806,33.92468571,37.91836364,38.556275,45.3139,41.24497281,38.85181636,42.08890859,44.16687273,37.8607082,42.8266912,42.46464239,42.83393495,35.05023145,41.795052,42.16176446,43.33909846,39.30804245,41.24074787,33.74679727,44.2694836,44.15555714,42.67585411,38.4712199,0,32.00109047,26.2934,41.56065674,44.02432,43.64918571,44.088368,41.72671429,32.72286667,0,27.49163333,43.6877,33.1932,44.4439,44.89418333,43.6877,39.83021667,0,40.23155366,43.4219,0,23.80636,41.03885161,19.3936,38.85028216,37.80540369,42.82934054
M01D07,2040,1,7,RNW,ELE_WIN,33.1932,25.57013333,0,28.82586154,42.38106154,38.4675,45.518,41.4574,45.364925,41.27707736,35.3918,44.11198491,39.36162222,40.73605,40.94489481,39.73593,19.3936,36.864876,37.9014,0,44.10246923,42.53819412,43.6877,0,0,0,33.1932,33.1932,41.4574,40.74087741,37.08494254,37.53983188,44.32596429,29.06053265,37.9232,33.1932,38.52435,43.18663333,0,40.983165,34.6004,44.30773636,28.6584,41.94213333,41.80250867,41.37986429,43.40602578,43.73010909,34.66348279,40.64898318,38.7067095,39.68508226,39.15560286,41.875436,43.1630997,44.44134462,43.73886036,34.6205234,33.67033056,41.83190229,36.57177143,36.58670511,36.33728851,19.3936,35.57601084,25.10738,37.43531681,39.54322051,43.00546786,44.04588889,42.94715,42.6189,33.1932,36.69136667,43.6877,41.4574,44.4439,45.59658333,43.6877,42.70075,39.68846667,34.27255833,47.0652,0,24.25242,36.65878529,41.4574,36.16719286,41.80043929,42.93466216
M01D08,2040,1,8,RNW,ELE_WIN,33.1932,24.7818,0,27.60781538,42.88124167,45.45136667,45.5714,37.9232,44.8366,44.38517905,37.89986923,44.83579649,28.9591875,43.77827037,43.94356835,32.09445,0,39.29961852,39.70685,0,44.05963846,44.64198235,43.8555,45.42758,0,0,19.3936,19.3936,37.9232,39.54798465,42.53941011,37.51298043,42.96306923,35.62125,34.1028,0,33.1932,0,0,43.72487647,33.1932,0,19.3936,19.3936,42.09497273,40.22718491,37.66465326,39.16575455,22.76884561,39.3566992,32.22674766,42.15318453,38.25510881,41.562152,33.22699814,44.06240204,0,39.68273617,25.30774401,41.98896265,40.65537143,35.83132708,41.61731336,41.4574,36.20795,19.3936,36.7396,41.475195,42.16245333,41.94048148,42.90096429,46.63,39.2568,26.99056667,43.1871,43.8555,43.2351,45.5269,42.1845,29.48792,34.84623333,34.57488788,47.0652,0,38.15674,44.30283529,19.3936,39.78511969,41.69134143,41.68365278
M01D09,2040,1,9,RNW,ELE_WIN,24.91344,37.9232,0,33.1932,44.23615833,41.1422,45.5714,41.4574,44.9057,43.46212925,34.76986667,43.55905263,31.40331111,42.21441481,44.22357215,34.38034444,33.1932,40.0197,42.1845,0,44.06689231,44.79612941,44.9057,42.08874,0,0,33.1932,0,42.1845,38.26062297,42.53359676,35.61883383,43.11928333,38.62411818,19.3936,0,33.1932,0,0,44.28881176,30.60188571,0,0,19.3936,31.77511552,39.59974167,39.71625156,21.36497143,32.95695505,44.1203072,34.17739136,41.03679409,35.78267205,28.88648,36.38847005,32.47325663,37.44488,41.02339255,34.89614533,43.22789187,45.06628571,41.10837639,40.34541707,33.1932,37.10425443,22.15352,34.09699286,40.86767105,41.02446119,38.44433704,41.45071429,32.72286667,42.4694125,26.7482,43.08642,19.3936,45.2113,44.67308333,41.4574,35.42601667,0,37.01606047,36.52383333,0,38.15674,42.70247941,0,38.29555962,40.33298626,39.86885
M01D10,2040,1,10,RNW,ELE_WIN,33.1932,41.4574,0,19.3936,40.82829167,41.4574,44.4439,41.4574,45.518,40.90977978,34.70086,43.48154737,21.46637778,34.26442308,41.14172564,43.5972875,43.02,37.26142593,42.68556667,0,43.92629231,42.85020588,37.9232,42.941,0,0,28.35945,19.3936,43.8555,42.44628817,39.99107333,33.22465735,43.55547143,39.34425556,0,0,0,0,33.1932,43.81993529,43.8758,26.2934,35.83297368,33.1932,30.73039407,42.756302,43.27212734,22.04068571,33.49187414,43.3043296,37.33305879,40.50348974,38.19520833,31.48754211,36.68598108,44.74829846,33.52756765,35.5094883,43.22979328,42.91404,43.79972857,34.6821,34.29405372,0,34.42578304,0,39.84006691,32.57480645,42.53060615,42.79772963,40.44475714,39.0744,37.24748571,27.49163333,43.6877,0,45.6123,42.43503333,42.1845,41.0727,0,37.40456591,46.99153333,0,37.9232,42.24802059,42.1845,36.84361564,40.95678991,35.38324571
