iec,CP,sfc_wind80m_floor
1,19.3936,3
1,33.1932,3.5
1,37.9232,4
1,41.4574,4.5
1,42.1845,5
1,43.6877,5.5
1,43.8555,6
1,44.8366,6.5
1,44.9057,7
1,45.5714,7.5
1,45.518,8
1,45.6123,8.5
1,45.2113,9
1,44.4439,9.5
1,43.2351,10
1,41.1422,10.5
1,38.4675,11
1,35.0062,11.5
1,31.6793,12
1,28.2126,12.5
1,25.2196,13
1,22.5199,13.5
1,20.1922,14
1,18.1745,14.5
1,16.417,15
1,14.879,15.5
1,13.5272,16
1,12.3343,16.5
1,11.2777,17
1,10.3384,17.5
1,9.5006,18
1,8.7509,18.5
1,8.0781,19
1,7.4725,19.5
1,6.9259,20
1,6.4314,20.5
1,5.9829,21
1,5.5751,21.5
1,5.2035,22
1,4.8643,22.5
1,4.5539,23
1,4.2694,23.5
1,4.0081,24
1,3.7676,24.5
1,3.5461,25
2,16.4475,3
2,33.1962,3.5
2,39.8042,4
2,44.8756,4.5
2,46.0791,5
2,47.4969,5.5
2,47.715,6
2,48.6461,6.5
2,48.5346,7
2,48.7501,7.5
2,47.9625,8
2,47.1457,8.5
2,45.5666,9
2,42.7684,9.5
2,39.7693,10
2,35.9083,10.5
2,32.3773,11
2,28.6768,11.5
2,25.4566,12
2,22.6102,12.5
2,20.135,13
2,17.9831,13.5
2,16.1161,14
2,14.486,14.5
2,13.0568,15
2,11.8012,15.5
2,10.7008,16
2,9.7393,16.5
2,8.8957,17
2,8.1499,17.5
2,7.4884,18
2,6.6864,18.5
2,5.9775,19
2,5.3492,19.5
2,4.7909,20
2,4.2937,20.5
2,3.85,21
2,3.4532,21.5
2,3.0975,22
2,2.7783,22.5
2,2.4912,23
2,2.2326,23.5
2,1.9993,24
2,1.7885,24.5
2,1.5978,25
3,16.2758,3
3,31.2563,3.5
3,38.8957,4
3,43.4219,4.5
3,44.9929,5
3,45.9747,5.5
3,46.2949,6
3,46.8683,6.5
3,47.0652,7
3,47.1723,7.5
3,46.63,8
3,45.0326,8.5
3,42.6189,9
3,39.0744,9.5
3,35.3232,10
3,31.4227,10.5
3,27.7656,11
3,24.4442,11.5
3,21.5382,12
3,19.0575,12.5
3,16.9429,13
3,15.1292,13.5
3,13.5591,14
3,12.1904,14.5
3,10.9932,15
3,9.9413,15.5
3,9.0205,16
3,8.2129,16.5
3,7.5038,17
3,6.8761,17.5
3,6.3188,18
3,5.6008,18.5
3,4.9677,19
3,4.408,19.5
3,3.912,20
3,3.4714,20.5
3,3.0793,21
3,2.7297,21.5
3,2.4173,22
3,2.1378,22.5
3,1.8872,23
3,1.6623,23.5
3,1.4601,24
3,1.2781,24.5
3,1.114,25
